                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90919,                0.73124,                 1.8201,                0.80783,                0.74031,                0.79285,                0.63339,                 1.6889,                 1.4621,                 1.7781,             0.00061787,             0.00061787,             0.00061787
                     36,                0.87119,                0.68695,                   1.81,                0.86203,                0.76591,                0.82283,                0.68044,                 1.5938,                 1.2594,                  1.778,             0.00061504,             0.00061504,             0.00061504
                     37,                0.89729,                0.73759,                 1.8124,                0.80863,                0.78973,                0.82067,                 0.6679,                 1.7015,                 1.4284,                 1.7802,             0.00061221,             0.00061221,             0.00061221
                     38,                0.86503,                0.75266,                 1.8115,                0.80962,                 0.7971,                0.83603,                 0.6608,                  1.627,                 1.5229,                 1.7703,             0.00060938,             0.00060938,             0.00060938
                     39,                0.86407,                0.69235,                  1.802,                0.83911,                0.81346,                0.86667,                0.71339,                 1.5322,                 1.1684,                 1.7337,             0.00060656,             0.00060656,             0.00060656
                     40,                0.86874,                 0.6775,                  1.833,                0.80855,                0.74492,                0.82144,                0.67894,                 1.6307,                 1.3779,                 1.7705,             0.00060373,             0.00060373,             0.00060373
                     41,                 0.8406,                0.65889,                 1.8049,                0.85505,                 0.8068,                0.86077,                0.70184,                 1.5461,                 1.2234,                 1.7472,              0.0006009,              0.0006009,              0.0006009
                     42,                0.85086,                0.68254,                 1.8022,                 0.8722,                0.78957,                0.85967,                0.69733,                 1.5696,                 1.1623,                 1.7464,             0.00059807,             0.00059807,             0.00059807
                     43,                0.82996,                0.64946,                 1.8021,                0.85611,                0.75576,                0.82926,                0.67566,                 1.6036,                  1.147,                 1.7574,             0.00059525,             0.00059525,             0.00059525
                     44,                 0.8045,                0.62603,                 1.7777,                0.86915,                 0.6731,                0.79374,                0.64203,                 1.7941,                 1.5108,                 1.7984,             0.00059242,             0.00059242,             0.00059242
                     45,                0.81789,                0.65869,                 1.7955,                0.83612,                0.84204,                0.86582,                0.68859,                 1.6588,                 1.3121,                 1.8058,             0.00058959,             0.00058959,             0.00058959
                     46,                0.80191,                0.64904,                 1.7802,                   0.88,                0.76194,                0.84444,                0.69121,                 1.5936,                 1.2442,                 1.7508,             0.00058677,             0.00058677,             0.00058677
                     47,                0.80869,                0.64815,                    1.8,                0.87969,                0.76141,                0.86024,                0.71259,                 1.5443,                 1.4012,                 1.7469,             0.00058394,             0.00058394,             0.00058394
                     48,                0.81195,                0.64562,                  1.791,                0.86347,                0.80218,                0.86564,                0.71174,                 1.5872,                 1.2462,                 1.7804,             0.00058111,             0.00058111,             0.00058111
                     49,                0.78969,                0.61629,                 1.7865,                0.82659,                 0.8548,                0.88026,                0.71497,                 1.5625,                 1.2868,                 1.7363,             0.00057828,             0.00057828,             0.00057828
                     50,                0.80159,                0.61206,                 1.7879,                0.86334,                0.81687,                0.87588,                0.72446,                 1.5639,                  1.333,                 1.7421,             0.00057546,             0.00057546,             0.00057546
                     51,                0.80463,                0.61402,                 1.7771,                  0.883,                0.79873,                0.86941,                0.70381,                 1.5902,                 1.3411,                 1.7392,             0.00057263,             0.00057263,             0.00057263
                     52,                0.77595,                0.59733,                 1.7672,                0.83712,                0.83163,                0.85842,                0.70368,                 1.5371,                 1.2477,                 1.7233,              0.0005698,              0.0005698,              0.0005698
                     53,                0.76658,                0.58435,                 1.7924,                0.83391,                0.79943,                0.85328,                0.70353,                 1.4978,                 1.3643,                 1.7234,             0.00056697,             0.00056697,             0.00056697
                     54,                0.76109,                0.57509,                 1.7609,                0.85259,                 0.8467,                0.88353,                0.71903,                   1.54,                 1.1257,                 1.7457,             0.00056415,             0.00056415,             0.00056415
                     55,                0.78743,                0.58199,                 1.7514,                0.87029,                0.80956,                0.86023,                0.69163,                 1.5583,                 1.3734,                  1.768,             0.00056132,             0.00056132,             0.00056132
